date,game,id,player1,player2,hand1,hand2,rta,rtb,sca,scb,result
2026-03-18,LotV,491917,24769,25440,1,3,0.19860422390464522,0.577032910285317,0,2,0
2026-03-18,LotV,491926,2309,25324,2,2,1.0307233044489743,-0.6068156922748392,2,0,1
2026-03-18,LotV,491927,5938,12333,2,2,0.8473748499009228,0.1905366053865893,2,0,1
2026-03-18,LotV,491928,233,110,3,3,2.5092754585618247,1.6188412613684755,2,1,1
2026-03-18,LotV,491929,21244,20769,3,3,2.0161556046376288,1.560463104537907,2,1,1
2026-03-18,LotV,491934,47,145,1,3,2.2301934226539157,0.872465639970196,2,0,1
2026-03-18,LotV,491935,35,20623,1,3,1.755831760813052,1.0629136924246982,2,1,1
2026-03-18,LotV,491936,1793,24270,2,2,2.3504110232405018,0.13499339692459308,2,0,1
2026-03-18,LotV,491937,8106,14887,3,3,1.3050032911410052,1.798674423561218,0,2,0
2026-03-18,LotV,491938,1665,13715,1,3,2.109671410570676,0.0672198717251317,2,0,1
2026-03-18,LotV,491911,110,19223,3,3,1.6188412613684755,-0.0745096364338025,2,0,1
2026-03-18,LotV,491914,25923,13223,1,3,0.1674471020609896,0.7052742599385602,1,2,0
2026-03-18,LotV,491913,20769,18046,3,2,1.560463104537907,1.4778114845060621,2,0,1
2026-03-18,LotV,491957,1793,1662,2,2,2.3504110232405018,1.984577768371454,2,0,1
2026-03-18,LotV,491956,233,47,3,1,2.5092754585618247,2.2301934226539157,2,0,1
2026-03-18,LotV,491955,19468,1662,1,2,1.747540395180854,1.984577768371454,1,2,0
2026-03-18,LotV,491954,1793,1665,2,1,2.3504110232405018,2.109671410570676,2,1,1
2026-03-18,LotV,491939,8148,11781,3,2,1.7428588470133772,0.0943523577541736,2,1,1
2026-03-18,LotV,491940,2170,20000,3,1,2.136960359941819,-0.036594832224379543,2,0,1
2026-03-18,LotV,491953,186,47,3,1,2.3338137814077378,2.2301934226539157,0,2,0
2026-03-18,LotV,491912,21244,11996,3,1,2.0161556046376288,-0.0935990054164394,2,0,1
2026-03-18,LotV,491952,233,2053,3,3,2.5092754585618247,2.1005667792098737,2,0,1
2026-03-18,LotV,491941,7956,19468,3,1,1.5513830718764328,1.747540395180854,0,2,0
2026-03-18,LotV,491942,1662,2309,2,2,1.984577768371454,1.0307233044489743,2,0,1
2026-03-18,LotV,491943,4049,5938,2,2,1.902400828238223,0.8473748499009228,2,0,1
2026-03-18,LotV,491918,22852,20623,2,3,0.0986995821624268,1.0629136924246982,0,2,0
2026-03-18,LotV,491950,2170,19468,3,1,2.136960359941819,1.747540395180854,1,2,0
2026-03-18,LotV,491921,25575,13715,2,3,0.08038271946744618,0.0672198717251317,0,2,0
2026-03-18,LotV,491920,14887,18136,3,2,1.798674423561218,0.00793606022107245,2,0,1
2026-03-18,LotV,491930,117,13223,2,3,2.0766971881437866,0.7052742599385602,2,0,1
2026-03-18,LotV,491931,2053,22007,3,2,2.1005667792098737,0.3823412499954559,2,0,1
2026-03-18,LotV,491925,15425,19468,1,1,1.3413435996753855,1.747540395180854,0,2,0
2026-03-18,LotV,491932,186,25873,3,2,2.3338137814077378,0.01686838964394743,2,0,1
2026-03-18,LotV,491924,7956,5109,3,2,1.5513830718764328,0.4719179852238137,2,0,1
2026-03-18,LotV,491923,20000,19455,1,2,-0.036594832224379543,-0.07483959075208765,2,1,1
2026-03-18,LotV,491933,2,25440,3,3,1.8331139423127523,0.577032910285317,0,2,0
2026-03-18,LotV,491919,8106,25498,3,3,1.3050032911410052,0.25236098894861025,2,0,1
2026-03-19,LotV,492012,25440,1793,3,2,0.6324458600795803,2.3683494474687703,0,1,0
2026-03-19,LotV,492010,20769,1793,3,2,1.5474750867073013,2.3683494474687703,0,1,0
2026-03-19,LotV,492009,22470,1793,4,2,0.1978635052012163,2.3683494474687703,0,1,0
2026-03-19,LotV,492008,1793,8148,2,3,2.3683494474687703,1.72874263417327,1,0,1
